('十九甲健康公園', '立元路/甲園街口', '24.09988')
('大里區公所', '新興路/大新街口', '24.09934')
('成功國中', '至善路/金山街口', '24.094240 ')
('長春兒童公園', '長春路78巷/長春路78巷31弄口', '24.08933')
('大里圖書館', '中興路一段/中湖路口', '24.08778')
('塗城里活動中心', '塗城路/塗成路33巷口', '24.086550 ')
('瑞城國小', '瑞城一街/美村街口', '24.086110 ')
('青年公園', '公園街/公園街421巷口', '24.08492')
('霧峰農工', '中正路1222號前', '24.07319 ')
('霧峰區公所', '大同路/民生路口', '24.0615')
('立法院中部辦公室', '中正路/蘭生街口', '24.05584 ')
